Horizontal Stem List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:26:54 2023
count    width    glyphs
    4       19    [ml_pa_virama_pa ml_la_virama_pa ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
    3      145    [ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_na_virama_ta_sign_uu]
    3      127    [ml_la_virama_la ml_la_virama_la_sign_u ml_la_virama_la_sign_uu]
    3       67    [ml_ma_virama_ma ml_ma_virama_ma_sign_u ml_ma_virama_ma_sign_uu]
    3       58    [AE OE trademark]
    3       48    [ml_e ml_ee ml_ai]
    3       20    [ml_ma_virama_pa_virama_ra ml_ma_virama_pa_virama_ra_sign_u ml_ma_virama_pa_virama_ra_sign_uu]
    3        9    [registered ml_ga_virama_ma_sign_u ml_ga_virama_ma_sign_uu]
    2      179    [ml_cha_sign_u ml_cha_sign_uu]
    2       82    [ml_gha_sign_u ml_gha_sign_uu]
    2       80    [ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu]
    2       60    [K ft]
    2       59    [ml_ta_virama_ma_sign_u ml_ta_virama_ma_sign_uu]
    2       31    [ml_nga_virama_ka_sign_u ml_nna_virama_ttha]
    1      213    [uni20A9]
    1      211    [logicalnot]
    1      209    [ml_vertical_bar_virama]
    1      162    [ml_ta_virama_bha_sign_u]
    1      155    [ml_ka_virama_ka_sign_uu]
    1      124    [ml_pa_virama_rra_virama_rra]
    1       95    [ml_pa_virama_la]
    1       92    [asciicircum]
    1       89    [ml_ii]
    1       86    [ml_ba_virama_da]
    1       81    [ml_ca_virama_cha]
    1       78    [four]
    1       56    [ml_ssa_virama_pa]
    1       55    [ml_ca_virama_cha]
    1       50    [x]
    1       43    [at]
    1       42    [ml_pha_virama_rra_virama_rra]
    1       40    [ml_pa_virama_la]
