Bottom Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
    1     -167    [ml_ddha_sign_uu]
    2     -166    [questiondown]
    1     -165    [ml_nna_virama_tta_sign_uu]
    2     -160    [ml_nna_virama_dda_sign_uu ml_ta_virama_ma_sign_uu]
    4     -159    [ml_nna_virama_nna_sign_uu ml_sign_vocalic_ll ml_ya_sign_uu ml_tta_virama_ra_sign_uu]
    1     -158    [ml_tta_sign_uu]
    4     -151    [ml_ka_sign_vocalic_r ml_nga_virama_ka_sign_vocalic_r ml_sha_sign_vocalic_r ml_sign_vocalic_r]
    2     -150    [ml_ga_virama_da_virama_dha_sign_uu ml_da_virama_dha_sign_uu]
    1     -126    [ml_sign_vocalic_rr]
    1     -125    [ml_sign_vocalic_rr]
   12     -122    [ml_ka_sign_uu ml_nga_virama_ka_sign_uu ml_cha_sign_u ml_cha_sign_uu ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu ml_sha_sign_u ml_sha_sign_uu]
    2     -112    [ml_ba_sign_vocalic_r ml_va_sign_vocalic_r]
    2     -110    [ml_ssa_virama_pa ml_sa_virama_pa]
    1     -104    [ml_ca_virama_cha]
    2     -103    [ml_ka_virama_ka_sign_uu]
    7     -101    [ml_ga_sign_vocalic_r ml_ta_sign_vocalic_r ml_ta_virama_ta_sign_vocalic_r ml_da_sign_vocalic_r ml_na_sign_vocalic_r ml_pa_sign_vocalic_r ml_ha_sign_vocalic_r]
    9     -100    [ml_ga_sign_u ml_ga_sign_uu ml_ta_sign_u ml_ta_sign_uu ml_ta_virama_bha_sign_u ml_na_virama_ta_sign_u ml_ha_sign_u ml_ha_sign_uu]
    6      -90    [ml_ja_virama_nya ml_ma_sign_vocalic_r ml_la_virama_pa ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu]
    2      -88    [ml_ja_virama_ja]
    1      -87    [ml_vocalic_rr]
    8      -83    [ml_ta_virama_ta_sign_u ml_ta_virama_ta_sign_uu ml_na_virama_ta_sign_uu ml_sa_sign_vocalic_r]
    2      -82    [ml_dda_sign_vocalic_r ml_dha_sign_vocalic_r]
   14      -78    [ml_ja_virama_ja ml_ja_virama_ra ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_dda_virama_dda ml_dda_virama_ddha ml_pa_virama_ta ml_bha_sign_u ml_ja_virama_ra_sign_u ml_ja_virama_ra_sign_uu]
    2      -76    [ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu]
    3      -73    [ml_pa_virama_pa ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
    2      -72    [ml_pa_virama_na]
    7      -70    [ml_ja_virama_ja ml_ja_virama_ra ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_ja_virama_ra_sign_u ml_ja_virama_ra_sign_uu]
    2      -68    [ml_dda_virama_ddha ml_ssa_virama_ttha]
   18      -63    [ml_la_virama_la ml_virama_la ml_ka_virama_la ml_ga_virama_la ml_ta_virama_la ml_pha_virama_la ml_ba_virama_la ml_ma_virama_la ml_va_virama_la ml_sha_virama_la ml_sa_virama_la ml_ha_virama_la ml_la_virama_la_sign_u ml_la_virama_la_sign_uu]
    4      -62    [ml_ka_virama_rra_virama_rra ml_pha_virama_rra_virama_rra]
    6      -60    [ml_ja ml_pa_virama_rra_virama_rra]
    9      -54    [commaaccent ncedilla scommaaccent tcommaaccent Scommaaccent]
    5      -48    [ml_ja ml_ja_sign_u ml_ja_sign_uu ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu]
    1      -47    [ml_uu]
    2      -46    [ml_au_length_mark]
   10      -45    [plusminus sterling ml_fraction_one_fortieth ml_fraction_one_tenth ml_fraction_one_half]
    2      -44    [IJ]
