Top Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
    1      538    [ae]
   10      536    [numbersign s scircumflex sacute scedilla scaron scommaaccent]
    1      535    [ml_fraction_three_quarters]
   18      534    [a dollar ml_sign_ee ml_fraction_one_twentieth acircumflex aacute aring amacron agrave acaron adieresis atilde abreve aogonek]
    9      533    [b g ml_digit_zero gcircumflex gcedilla gdotaccent gbreve]
    5      530    [ml_a ml_aa ml_nna_virama_dda ml_nna_virama_dda_sign_u ml_nna_virama_dda_sign_uu]
    4      529    [r racute rcedilla rcaron]
    1      528    [five]
   73      525    [asciicircum asterisk dollar dotlessi dotlessj f ff fi ft k s t tt v w x y z ml_ca ml_ca_virama_ca ml_ca_virama_cha ml_pa ml_pa_sign_vocalic_r ml_pa_virama_ta ml_pa_virama_na ml_pa_virama_pa ml_pa_virama_rra_virama_rra ml_ttta ml_sign_vocalic_r ml_sign_vocalic_rr ml_virama_ya ml_virama_va ml_fraction_one_twentieth scircumflex wcircumflex ycircumflex sacute wacute yacute zacute kcedilla scedilla igrave wgrave ygrave scaron tcaron zcaron wdieresis ydieresis zdotaccent iogonek scommaaccent tcommaaccent ml_pa_virama_la ml_ca_sign_u ml_ca_sign_uu ml_pa_sign_u ml_pa_sign_uu ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu ml_virama_ya_sign_u ml_virama_ya_sign_uu]
    2      510    [mu]
    2      508    [six]
    1      495    [multiply]
   10      492    [E F Ecircumflex Eacute Emacron Egrave Ecaron Edieresis Edotaccent Eogonek]
    2      487    [colon semicolon]
    2      485    [ml_visarga]
    2      482    [equal]
    2      481    [ampersand eth]
    2      477    [ml_ja_virama_ja_sign_u ml_ja_virama_ja_sign_uu]
    1      476    [percent]
    3      468    [ml_sha_virama_ra ml_sha_virama_ra_sign_u ml_sha_virama_ra_sign_uu]
    2      466    [uni25CC]
   22      451    [ml_ca ml_ca_virama_ca ml_ca_virama_cha ml_cha ml_cha_sign_u ml_cha_sign_uu ml_ja_virama_ja ml_ja_virama_nya ml_ja_virama_ra ml_nya_virama_ja ml_nya_virama_ja_sign_u ml_nya_virama_ja_sign_uu ml_fraction_one_quarter ml_ca_sign_u ml_ca_sign_uu ml_ca_virama_ca_sign_u ml_ca_virama_ca_sign_uu ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu ml_ja_virama_ra_sign_u ml_ja_virama_ra_sign_uu]
    2      448    [divide]
    1      446    [Euro]
    1      443    [three]
    1      439    [ml_fraction_one_fortieth]
    1      428    [ml_combining_anusvara_above]
    1      426    [B]
    1      425    [sterling]
    1      422    [ml_ra]
    4      419    [AE Dcroat Eth OE]
    5      413    [G Gcircumflex Gcedilla Gdotaccent Gbreve]
    1      412    [Hbar]
    1      409    [ml_sha_sign_uu]
    4      407    [ml_i ml_ii ml_u ml_uu]
    4      406    [H braceleft braceright Hcircumflex]
   11      401    [E F uni20A9 Ecircumflex Eacute Emacron Egrave Ecaron Edieresis Edotaccent Eogonek]
    1      400    [uni25CC]
    1      398    [ml_ta_virama_bha]
    1      389    [registered]
    2      385    [ml_number_one_thousand ml_fraction_one_eighth]
    1      384    [ml_aa]
    1      381    [ml_ta_virama_bha_sign_u]
    6      378    [ml_bha ml_bha_sign_u ml_bha_sign_uu ml_bha_virama_ra ml_bha_virama_ra_sign_u ml_bha_virama_ra_sign_uu]
    6      368    [ml_a ml_pa_virama_ta ml_pa_virama_na ml_pa_virama_pa ml_pa_virama_pa_sign_u ml_pa_virama_pa_sign_uu]
    6      367    [ml_vocalic_l ml_ga_virama_na_sign_u ml_nna_sign_u ml_na_sign_u ml_na_virama_na_sign_u ml_ha_virama_na_sign_u]
    6      360    [ml_lla ml_lla_virama_lla ml_lla_sign_u ml_lla_sign_uu ml_lla_virama_lla_sign_u ml_lla_virama_lla_sign_uu]
    4      358    [R Racute Rcedilla Rcaron]
    1      354    [ml_date_mark]
    1      351    [logicalnot]
    2      350    [ml_ja_sign_uu ml_ja_virama_ja_sign_uu]
    7      347    [AE ml_kha ml_nga_virama_nga ml_kha_sign_u ml_kha_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu]
   56      346    [e ml_e ml_ee ml_ai ml_pa ml_pa_sign_vocalic_r ml_pa_virama_ra ml_pa_virama_rra_virama_rra ml_pha ml_pha_virama_ra ml_pha_virama_rra_virama_rra ml_ssa ml_ssa_virama_tta ml_ssa_virama_tta_virama_ra ml_ssa_virama_ttha ml_ssa_virama_pa ml_ssa_virama_ra ml_ha ml_ha_sign_u ml_ha_sign_uu ml_ha_sign_vocalic_r ml_ha_virama_na ml_ha_virama_na_sign_u ml_ha_virama_na_sign_uu ml_ha_virama_ma ml_ha_virama_ra ml_sign_oo ml_fraction_one_sixteenth ml_fraction_one_eighth ecircumflex eacute emacron egrave ecaron edieresis edotaccent eogonek ml_pa_virama_la ml_pha_virama_la ml_ha_virama_la ml_pa_sign_u ml_pa_sign_uu ml_pha_sign_u ml_pha_sign_uu ml_ssa_sign_u ml_ssa_sign_uu ml_ha_virama_ma_sign_u ml_ha_virama_ma_sign_uu ml_pa_virama_ra_sign_u ml_pa_virama_ra_sign_uu ml_pha_virama_ra_sign_u ml_pha_virama_ra_sign_uu ml_ha_virama_ra_sign_u ml_ha_virama_ra_sign_uu ml_ssa_virama_ra_sign_u ml_ssa_virama_ra_sign_uu]
    2      345    [ml_ka_sign_u ml_nga_virama_ka_sign_u]
    2      341    [yen ml_ka_virama_rra_virama_rra]
    2      338    [asciitilde]
